PFMA,Strata name,Classification ,month,uncertain
"PFMA 23-1, 23-2",Alberni Canal Sport,WCVI AABM,January,
"PFMA 23-1, 23-2",Alberni Canal Sport,WCVI AABM,February,
"PFMA 23-1, 23-2",Alberni Canal Sport,WCVI AABM,March,
"PFMA 23-1, 23-2",Alberni Canal Sport,WCVI AABM,April,
"PFMA 23-1, 23-2",Alberni Canal Sport,WCVI AABM,May,
"PFMA 23-1, 23-2",Alberni Canal Sport,WCVI AABM,June,
"PFMA 23-1, 23-2",Alberni Canal Sport,ISBM,July,
"PFMA 23-1, 23-2",Alberni Canal Sport,ISBM,August,
"PFMA 23-1, 23-2",Alberni Canal Sport,ISBM,September,
"PFMA 23-1, 23-2",Alberni Canal Sport,ISBM,October,
"PFMA 23-1, 23-2",Alberni Canal Sport,WCVI AABM,November,
"PFMA 23-1, 23-2",Alberni Canal Sport,WCVI AABM,December,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,WCVI AABM,January,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,WCVI AABM,February,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,WCVI AABM,March,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,WCVI AABM,April,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,WCVI AABM,May,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,WCVI AABM,June,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,ISBM,July,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,ISBM,August,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,ISBM,September,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,ISBM,October,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,WCVI AABM,November,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,WCVI AABM,December,
MRP AREA 23A (PFMA Subareas 23-1 and -2),Alberni Inlet FSC,ISBM,January,
MRP AREA 23A (PFMA Subareas 23-1 and -2),Alberni Inlet FSC,ISBM,February,
MRP AREA 23A (PFMA Subareas 23-1 and -2),Alberni Inlet FSC,ISBM,March,
MRP AREA 23A (PFMA Subareas 23-1 and -2),Alberni Inlet FSC,ISBM,April,
MRP AREA 23A (PFMA Subareas 23-1 and -2),Alberni Inlet FSC,ISBM,May,
MRP AREA 23A (PFMA Subareas 23-1 and -2),Alberni Inlet FSC,ISBM,June,
MRP AREA 23A (PFMA Subareas 23-1 and -2),Alberni Inlet FSC,ISBM,July,
MRP AREA 23A (PFMA Subareas 23-1 and -2),Alberni Inlet FSC,ISBM,August,
MRP AREA 23A (PFMA Subareas 23-1 and -2),Alberni Inlet FSC,ISBM,September,
MRP AREA 23A (PFMA Subareas 23-1 and -2),Alberni Inlet FSC,ISBM,October,
MRP AREA 23A (PFMA Subareas 23-1 and -2),Alberni Inlet FSC,ISBM,November,
MRP AREA 23A (PFMA Subareas 23-1 and -2),Alberni Inlet FSC,ISBM,December,
"PFMA 23-1, 23-2",Alberni Inlet Net + EO,WCVI AABM,January,
"PFMA 23-1, 23-2",Alberni Inlet Net + EO,WCVI AABM,February,
"PFMA 23-1, 23-2",Alberni Inlet Net + EO,WCVI AABM,March,
"PFMA 23-1, 23-2",Alberni Inlet Net + EO,WCVI AABM,April,
"PFMA 23-1, 23-2",Alberni Inlet Net + EO,WCVI AABM,May,
"PFMA 23-1, 23-2",Alberni Inlet Net + EO,WCVI AABM,June,
"PFMA 23-1, 23-2",Alberni Inlet Net + EO,ISBM,July,
"PFMA 23-1, 23-2",Alberni Inlet Net + EO,ISBM,August,
"PFMA 23-1, 23-2",Alberni Inlet Net + EO,ISBM,September,
"PFMA 23-1, 23-2",Alberni Inlet Net + EO,ISBM,October,
"PFMA 23-1, 23-2",Alberni Inlet Net + EO,WCVI AABM,November,
"PFMA 23-1, 23-2",Alberni Inlet Net + EO,WCVI AABM,December,
Terminal FW PFMA 8,Bella Coola R FSC,ISBM,January,
Terminal FW PFMA 8,Bella Coola R FSC,ISBM,February,
Terminal FW PFMA 8,Bella Coola R FSC,ISBM,March,
Terminal FW PFMA 8,Bella Coola R FSC,ISBM,April,
Terminal FW PFMA 8,Bella Coola R FSC,ISBM,May,
Terminal FW PFMA 8,Bella Coola R FSC,ISBM,June,
Terminal FW PFMA 8,Bella Coola R FSC,ISBM,July,
Terminal FW PFMA 8,Bella Coola R FSC,ISBM,August,
Terminal FW PFMA 8,Bella Coola R FSC,ISBM,September,
Terminal FW PFMA 8,Bella Coola R FSC,ISBM,October,
Terminal FW PFMA 8,Bella Coola R FSC,ISBM,November,
Terminal FW PFMA 8,Bella Coola R FSC,ISBM,December,
"PFMA 6,7,9,10, 106,107,109,110",Central Net (excluding PFMA 8 terminal),ISBM,January,
"PFMA 6,7,9,10, 106,107,109,110",Central Net (excluding PFMA 8 terminal),ISBM,February,
"PFMA 6,7,9,10, 106,107,109,110",Central Net (excluding PFMA 8 terminal),ISBM,March,
"PFMA 6,7,9,10, 106,107,109,110",Central Net (excluding PFMA 8 terminal),ISBM,April,
"PFMA 6,7,9,10, 106,107,109,110",Central Net (excluding PFMA 8 terminal),ISBM,May,
"PFMA 6,7,9,10, 106,107,109,110",Central Net (excluding PFMA 8 terminal),ISBM,June,
"PFMA 6,7,9,10, 106,107,109,110",Central Net (excluding PFMA 8 terminal),ISBM,July,
"PFMA 6,7,9,10, 106,107,109,110",Central Net (excluding PFMA 8 terminal),ISBM,August,
"PFMA 6,7,9,10, 106,107,109,110",Central Net (excluding PFMA 8 terminal),ISBM,September,
"PFMA 6,7,9,10, 106,107,109,110",Central Net (excluding PFMA 8 terminal),ISBM,October,
"PFMA 6,7,9,10, 106,107,109,110",Central Net (excluding PFMA 8 terminal),ISBM,November,
"PFMA 6,7,9,10, 106,107,109,110",Central Net (excluding PFMA 8 terminal),ISBM,December,
"PFMA 8, 108","Central Net Terminal PFMA 8, 108",ISBM,January,
"PFMA 8, 108","Central Net Terminal PFMA 8, 108",ISBM,February,
"PFMA 8, 108","Central Net Terminal PFMA 8, 108",ISBM,March,
"PFMA 8, 108","Central Net Terminal PFMA 8, 108",ISBM,April,
"PFMA 8, 108","Central Net Terminal PFMA 8, 108",ISBM,May,
"PFMA 8, 108","Central Net Terminal PFMA 8, 108",ISBM,June,
"PFMA 8, 108","Central Net Terminal PFMA 8, 108",ISBM,July,
"PFMA 8, 108","Central Net Terminal PFMA 8, 108",ISBM,August,
"PFMA 8, 108","Central Net Terminal PFMA 8, 108",ISBM,September,
"PFMA 8, 108","Central Net Terminal PFMA 8, 108",ISBM,October,
"PFMA 8, 108","Central Net Terminal PFMA 8, 108",ISBM,November,
"PFMA 8, 108","Central Net Terminal PFMA 8, 108",ISBM,December,
"PFMA 6 to 12, 106 to 111, 130",Central Sport,ISBM,January,
"PFMA 6 to 12, 106 to 111, 130",Central Sport,ISBM,February,
"PFMA 6 to 12, 106 to 111, 130",Central Sport,ISBM,March,
"PFMA 6 to 12, 106 to 111, 130",Central Sport,ISBM,April,
"PFMA 6 to 12, 106 to 111, 130",Central Sport,ISBM,May,
"PFMA 6 to 12, 106 to 111, 130",Central Sport,ISBM,June,
"PFMA 6 to 12, 106 to 111, 130",Central Sport,ISBM,July,
"PFMA 6 to 12, 106 to 111, 130",Central Sport,ISBM,August,
"PFMA 6 to 12, 106 to 111, 130",Central Sport,ISBM,September,
"PFMA 6 to 12, 106 to 111, 130",Central Sport,ISBM,October,
"PFMA 6 to 12, 106 to 111, 130",Central Sport,ISBM,November,
"PFMA 6 to 12, 106 to 111, 130",Central Sport,ISBM,December,
"PFMA 6 to 12, 106 to 111, 130",Central Sport - Direct,ISBM,January,
"PFMA 6 to 12, 106 to 111, 130",Central Sport - Direct,ISBM,February,
"PFMA 6 to 12, 106 to 111, 130",Central Sport - Direct,ISBM,March,
"PFMA 6 to 12, 106 to 111, 130",Central Sport - Direct,ISBM,April,
"PFMA 6 to 12, 106 to 111, 130",Central Sport - Direct,ISBM,May,
"PFMA 6 to 12, 106 to 111, 130",Central Sport - Direct,ISBM,June,
"PFMA 6 to 12, 106 to 111, 130",Central Sport - Direct,ISBM,July,
"PFMA 6 to 12, 106 to 111, 130",Central Sport - Direct,ISBM,August,
"PFMA 6 to 12, 106 to 111, 130",Central Sport - Direct,ISBM,September,
"PFMA 6 to 12, 106 to 111, 130",Central Sport - Direct,ISBM,October,
"PFMA 6 to 12, 106 to 111, 130",Central Sport - Direct,ISBM,November,
"PFMA 6 to 12, 106 to 111, 130",Central Sport - Direct,ISBM,December,
"PFMA 21, 121, 23 to 27, 123 to 127",Comb.CR: NW & SW Vancouver Is Troll,WCVI AABM,January,
"PFMA 21, 121, 23 to 27, 123 to 127",Comb.CR: NW & SW Vancouver Is Troll,WCVI AABM,February,
"PFMA 21, 121, 23 to 27, 123 to 127",Comb.CR: NW & SW Vancouver Is Troll,WCVI AABM,March,
"PFMA 21, 121, 23 to 27, 123 to 127",Comb.CR: NW & SW Vancouver Is Troll,WCVI AABM,April,
"PFMA 21, 121, 23 to 27, 123 to 127",Comb.CR: NW & SW Vancouver Is Troll,WCVI AABM,May,
"PFMA 21, 121, 23 to 27, 123 to 127",Comb.CR: NW & SW Vancouver Is Troll,WCVI AABM,June,
"PFMA 21, 121, 23 to 27, 123 to 127",Comb.CR: NW & SW Vancouver Is Troll,WCVI AABM,July,
"PFMA 21, 121, 23 to 27, 123 to 127",Comb.CR: NW & SW Vancouver Is Troll,WCVI AABM,August,
"PFMA 21, 121, 23 to 27, 123 to 127",Comb.CR: NW & SW Vancouver Is Troll,WCVI AABM,September,
"PFMA 21, 121, 23 to 27, 123 to 127",Comb.CR: NW & SW Vancouver Is Troll,WCVI AABM,October,
"PFMA 21, 121, 23 to 27, 123 to 127",Comb.CR: NW & SW Vancouver Is Troll,WCVI AABM,November,
"PFMA 21, 121, 23 to 27, 123 to 127",Comb.CR: NW & SW Vancouver Is Troll,WCVI AABM,December,
PFMA 18,Cowichan R FSC,ISBM,January,
PFMA 18,Cowichan R FSC,ISBM,February,
PFMA 18,Cowichan R FSC,ISBM,March,
PFMA 18,Cowichan R FSC,ISBM,April,
PFMA 18,Cowichan R FSC,ISBM,May,
PFMA 18,Cowichan R FSC,ISBM,June,
PFMA 18,Cowichan R FSC,ISBM,July,
PFMA 18,Cowichan R FSC,ISBM,August,
PFMA 18,Cowichan R FSC,ISBM,September,
PFMA 18,Cowichan R FSC,ISBM,October,
PFMA 18,Cowichan R FSC,ISBM,November,
PFMA 18,Cowichan R FSC,ISBM,December,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser FN Fall Winter Below Harrison(2011+),ISBM,January,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser FN Fall Winter Below Harrison(2011+),ISBM,February,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser FN Fall Winter Below Harrison(2011+),ISBM,March,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser FN Fall Winter Below Harrison(2011+),ISBM,April,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser FN Fall Winter Below Harrison(2011+),ISBM,May,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser FN Fall Winter Below Harrison(2011+),ISBM,June,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser FN Fall Winter Below Harrison(2011+),ISBM,July,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser FN Fall Winter Below Harrison(2011+),ISBM,August,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser FN Fall Winter Below Harrison(2011+),ISBM,September,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser FN Fall Winter Below Harrison(2011+),ISBM,October,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser FN Fall Winter Below Harrison(2011+),ISBM,November,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser FN Fall Winter Below Harrison(2011+),ISBM,December,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (1990+),ISBM,January,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (1990+),ISBM,February,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (1990+),ISBM,March,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (1990+),ISBM,April,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (1990+),ISBM,May,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (1990+),ISBM,June,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (1990+),ISBM,July,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (1990+),ISBM,August,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (1990+),ISBM,September,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (1990+),ISBM,October,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (1990+),ISBM,November,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (1990+),ISBM,December,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (2011+),ISBM,January,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (2011+),ISBM,February,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (2011+),ISBM,March,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (2011+),ISBM,April,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (2011+),ISBM,May,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (2011+),ISBM,June,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (2011+),ISBM,July,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (2011+),ISBM,August,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (2011+),ISBM,September,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (2011+),ISBM,October,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (2011+),ISBM,November,
"PFMA 29, Harrison to Thompson R (Lytton), Fall Winter",Fraser FN Fall Winter Harrison to Thompson R (2011+),ISBM,December,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser FN Spring Summer  (2011+),ISBM,January,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser FN Spring Summer  (2011+),ISBM,February,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser FN Spring Summer  (2011+),ISBM,March,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser FN Spring Summer  (2011+),ISBM,April,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser FN Spring Summer  (2011+),ISBM,May,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser FN Spring Summer  (2011+),ISBM,June,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser FN Spring Summer  (2011+),ISBM,July,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser FN Spring Summer  (2011+),ISBM,August,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser FN Spring Summer  (2011+),ISBM,September,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser FN Spring Summer  (2011+),ISBM,October,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser FN Spring Summer  (2011+),ISBM,November,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser FN Spring Summer  (2011+),ISBM,December,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser Gillnet & FN Fall Winter Below Harrison(1990+),ISBM,January,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser Gillnet & FN Fall Winter Below Harrison(1990+),ISBM,February,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser Gillnet & FN Fall Winter Below Harrison(1990+),ISBM,March,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser Gillnet & FN Fall Winter Below Harrison(1990+),ISBM,April,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser Gillnet & FN Fall Winter Below Harrison(1990+),ISBM,May,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser Gillnet & FN Fall Winter Below Harrison(1990+),ISBM,June,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser Gillnet & FN Fall Winter Below Harrison(1990+),ISBM,July,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser Gillnet & FN Fall Winter Below Harrison(1990+),ISBM,August,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser Gillnet & FN Fall Winter Below Harrison(1990+),ISBM,September,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser Gillnet & FN Fall Winter Below Harrison(1990+),ISBM,October,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser Gillnet & FN Fall Winter Below Harrison(1990+),ISBM,November,
"PFMA 29, Mouth to Harrison, Fall Winter",Fraser Gillnet & FN Fall Winter Below Harrison(1990+),ISBM,December,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser Gillnet & FN Spring Summer  (1990+),ISBM,January,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser Gillnet & FN Spring Summer  (1990+),ISBM,February,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser Gillnet & FN Spring Summer  (1990+),ISBM,March,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser Gillnet & FN Spring Summer  (1990+),ISBM,April,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser Gillnet & FN Spring Summer  (1990+),ISBM,May,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser Gillnet & FN Spring Summer  (1990+),ISBM,June,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser Gillnet & FN Spring Summer  (1990+),ISBM,July,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser Gillnet & FN Spring Summer  (1990+),ISBM,August,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser Gillnet & FN Spring Summer  (1990+),ISBM,September,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser Gillnet & FN Spring Summer  (1990+),ISBM,October,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser Gillnet & FN Spring Summer  (1990+),ISBM,November,
"PFMA 29, Mouth to Lytton, Spring Summer",Fraser Gillnet & FN Spring Summer  (1990+),ISBM,December,
PFMA 29,Fraser Gillnet (2011+),ISBM,January,
PFMA 29,Fraser Gillnet (2011+),ISBM,February,
PFMA 29,Fraser Gillnet (2011+),ISBM,March,
PFMA 29,Fraser Gillnet (2011+),ISBM,April,
PFMA 29,Fraser Gillnet (2011+),ISBM,May,
PFMA 29,Fraser Gillnet (2011+),ISBM,June,
PFMA 29,Fraser Gillnet (2011+),ISBM,July,
PFMA 29,Fraser Gillnet (2011+),ISBM,August,
PFMA 29,Fraser Gillnet (2011+),ISBM,September,
PFMA 29,Fraser Gillnet (2011+),ISBM,October,
PFMA 29,Fraser Gillnet (2011+),ISBM,November,
PFMA 29,Fraser Gillnet (2011+),ISBM,December,
PFMA 29,Fraser Seine,ISBM,January,
PFMA 29,Fraser Seine,ISBM,February,
PFMA 29,Fraser Seine,ISBM,March,
PFMA 29,Fraser Seine,ISBM,April,
PFMA 29,Fraser Seine,ISBM,May,
PFMA 29,Fraser Seine,ISBM,June,
PFMA 29,Fraser Seine,ISBM,July,
PFMA 29,Fraser Seine,ISBM,August,
PFMA 29,Fraser Seine,ISBM,September,
PFMA 29,Fraser Seine,ISBM,October,
PFMA 29,Fraser Seine,ISBM,November,
PFMA 29,Fraser Seine,ISBM,December,
BC FRESHWATER,Freshwater Sport,ISBM,January,
BC FRESHWATER,Freshwater Sport,ISBM,February,
BC FRESHWATER,Freshwater Sport,ISBM,March,
BC FRESHWATER,Freshwater Sport,ISBM,April,
BC FRESHWATER,Freshwater Sport,ISBM,May,
BC FRESHWATER,Freshwater Sport,ISBM,June,
BC FRESHWATER,Freshwater Sport,ISBM,July,
BC FRESHWATER,Freshwater Sport,ISBM,August,
BC FRESHWATER,Freshwater Sport,ISBM,September,
BC FRESHWATER,Freshwater Sport,ISBM,October,
BC FRESHWATER,Freshwater Sport,ISBM,November,
BC FRESHWATER,Freshwater Sport,ISBM,December,
Research Sport Fishing through special permit in the Strait of Georgia,Georgia St Res Spt,ISBM,January,
Research Sport Fishing through special permit in the Strait of Georgia,Georgia St Res Spt,ISBM,February,
Research Sport Fishing through special permit in the Strait of Georgia,Georgia St Res Spt,ISBM,March,
Research Sport Fishing through special permit in the Strait of Georgia,Georgia St Res Spt,ISBM,April,
Research Sport Fishing through special permit in the Strait of Georgia,Georgia St Res Spt,ISBM,May,
Research Sport Fishing through special permit in the Strait of Georgia,Georgia St Res Spt,ISBM,June,
Research Sport Fishing through special permit in the Strait of Georgia,Georgia St Res Spt,ISBM,July,
Research Sport Fishing through special permit in the Strait of Georgia,Georgia St Res Spt,ISBM,August,
Research Sport Fishing through special permit in the Strait of Georgia,Georgia St Res Spt,ISBM,September,
Research Sport Fishing through special permit in the Strait of Georgia,Georgia St Res Spt,ISBM,October,
Research Sport Fishing through special permit in the Strait of Georgia,Georgia St Res Spt,ISBM,November,
Research Sport Fishing through special permit in the Strait of Georgia,Georgia St Res Spt,ISBM,December,
PFMA 14 to 19,Georgia Strait Net,ISBM,January,
PFMA 14 to 19,Georgia Strait Net,ISBM,February,
PFMA 14 to 19,Georgia Strait Net,ISBM,March,
PFMA 14 to 19,Georgia Strait Net,ISBM,April,
PFMA 14 to 19,Georgia Strait Net,ISBM,May,
PFMA 14 to 19,Georgia Strait Net,ISBM,June,
PFMA 14 to 19,Georgia Strait Net,ISBM,July,
PFMA 14 to 19,Georgia Strait Net,ISBM,August,
PFMA 14 to 19,Georgia Strait Net,ISBM,September,
PFMA 14 to 19,Georgia Strait Net,ISBM,October,
PFMA 14 to 19,Georgia Strait Net,ISBM,November,
PFMA 14 to 19,Georgia Strait Net,ISBM,December,
PFMA 14 to 16,Georgia Strait Sport Central,ISBM,January,
PFMA 14 to 16,Georgia Strait Sport Central,ISBM,February,
PFMA 14 to 16,Georgia Strait Sport Central,ISBM,March,
PFMA 14 to 16,Georgia Strait Sport Central,ISBM,April,
PFMA 14 to 16,Georgia Strait Sport Central,ISBM,May,
PFMA 14 to 16,Georgia Strait Sport Central,ISBM,June,
PFMA 14 to 16,Georgia Strait Sport Central,ISBM,July,
PFMA 14 to 16,Georgia Strait Sport Central,ISBM,August,
PFMA 14 to 16,Georgia Strait Sport Central,ISBM,September,
PFMA 14 to 16,Georgia Strait Sport Central,ISBM,October,
PFMA 14 to 16,Georgia Strait Sport Central,ISBM,November,
PFMA 14 to 16,Georgia Strait Sport Central,ISBM,December,
PFMA 13 to 16,Georgia Strait Sport North,ISBM,January,
PFMA 13 to 16,Georgia Strait Sport North,ISBM,February,
PFMA 13 to 16,Georgia Strait Sport North,ISBM,March,
PFMA 13 to 16,Georgia Strait Sport North,ISBM,April,
PFMA 13 to 16,Georgia Strait Sport North,ISBM,May,
PFMA 13 to 16,Georgia Strait Sport North,ISBM,June,
PFMA 13 to 16,Georgia Strait Sport North,ISBM,July,
PFMA 13 to 16,Georgia Strait Sport North,ISBM,August,
PFMA 13 to 16,Georgia Strait Sport North,ISBM,September,
PFMA 13 to 16,Georgia Strait Sport North,ISBM,October,
PFMA 13 to 16,Georgia Strait Sport North,ISBM,November,
PFMA 13 to 16,Georgia Strait Sport North,ISBM,December,
"PFMA 17, 18, 19-7 to 19-12, 28, 29",Georgia Strait Sport South,ISBM,January,
"PFMA 17, 18, 19-7 to 19-12, 28, 29",Georgia Strait Sport South,ISBM,February,
"PFMA 17, 18, 19-7 to 19-12, 28, 29",Georgia Strait Sport South,ISBM,March,
"PFMA 17, 18, 19-7 to 19-12, 28, 29",Georgia Strait Sport South,ISBM,April,
"PFMA 17, 18, 19-7 to 19-12, 28, 29",Georgia Strait Sport South,ISBM,May,
"PFMA 17, 18, 19-7 to 19-12, 28, 29",Georgia Strait Sport South,ISBM,June,
"PFMA 17, 18, 19-7 to 19-12, 28, 29",Georgia Strait Sport South,ISBM,July,
"PFMA 17, 18, 19-7 to 19-12, 28, 29",Georgia Strait Sport South,ISBM,August,
"PFMA 17, 18, 19-7 to 19-12, 28, 29",Georgia Strait Sport South,ISBM,September,
"PFMA 17, 18, 19-7 to 19-12, 28, 29",Georgia Strait Sport South,ISBM,October,
"PFMA 17, 18, 19-7 to 19-12, 28, 29",Georgia Strait Sport South,ISBM,November,
"PFMA 17, 18, 19-7 to 19-12, 28, 29",Georgia Strait Sport South,ISBM,December,
"PFMA 13 to 18, 29",Georgia Strait Troll,ISBM,January,
"PFMA 13 to 18, 29",Georgia Strait Troll,ISBM,February,
"PFMA 13 to 18, 29",Georgia Strait Troll,ISBM,March,
"PFMA 13 to 18, 29",Georgia Strait Troll,ISBM,April,
"PFMA 13 to 18, 29",Georgia Strait Troll,ISBM,May,
